Date,High,Low,Closing,Value Traded,No. of Trans,No. of Shares
07/11/2019,0.63,0.62,0.62,6594,15,10631
06/11/2019,0.63,0.62,0.62,2233,4,3600
05/11/2019,0.65,0.62,0.62,20633,37,33064
04/11/2019,0.63,0.63,0.63,2709,4,4300
03/11/2019,0.63,0.62,0.63,1468,5,2334
31/10/2019,0.63,0.63,0.63,10880,17,17270
29/10/2019,0.63,0.62,0.63,4643,8,7386
28/10/2019,0.63,0.63,0.63,630,1,1000
24/10/2019,0.63,0.63,0.63,3534,5,5610
23/10/2019,0.63,0.63,0.63,693,3,1100
22/10/2019,0.63,0.62,0.63,683,4,1100
21/10/2019,0.63,0.62,0.62,6511,15,10500
20/10/2019,0.63,0.63,0.63,3056,6,4850
16/10/2019,0.64,0.63,0.63,3885,6,6150
15/10/2019,0.64,0.63,0.63,1244,4,1950
10/10/2019,0.65,0.63,0.65,578,3,916
09/10/2019,0.64,0.63,0.63,2269,7,3600
07/10/2019,0.65,0.62,0.65,306,3,484
02/10/2019,0.65,0.65,0.65,65,2,100
30/09/2019,0.65,0.63,0.63,1573,5,2490
26/09/2019,0.64,0.63,0.63,10270,20,16300
22/09/2019,0.65,0.63,0.65,7027,18,11135
19/09/2019,0.65,0.64,0.65,28066,49,43850
18/09/2019,0.67,0.65,0.65,1973,8,3035
17/09/2019,0.65,0.65,0.65,650,1,1000
16/09/2019,0.67,0.64,0.66,333365,37,519881
12/09/2019,0.65,0.65,0.65,975,2,1500
11/09/2019,0.65,0.64,0.65,2049,6,3200
10/09/2019,0.66,0.64,0.66,1475,7,2300
05/09/2019,0.64,0.64,0.64,2688,5,4200
04/09/2019,0.65,0.65,0.65,845,5,1300
03/09/2019,0.66,0.66,0.66,145,2,220
01/09/2019,0.67,0.65,0.67,1009,3,1550
28/08/2019,0.65,0.65,0.65,1538,6,2366
27/08/2019,0.66,0.64,0.65,5411,15,8324
22/08/2019,0.67,0.65,0.67,1104,4,1695
21/08/2019,0.67,0.65,0.65,5625,9,8650
20/08/2019,0.66,0.66,0.66,1257,4,1905
19/08/2019,0.66,0.66,0.66,792,3,1200
18/08/2019,0.66,0.66,0.66,616,4,934
15/08/2019,0.66,0.66,0.66,562,3,852
08/08/2019,0.66,0.66,0.66,5559,12,8423
07/08/2019,0.68,0.67,0.67,1460,5,2177
06/08/2019,0.67,0.67,0.67,2412,7,3600
05/08/2019,0.67,0.67,0.67,1329,4,1983
04/08/2019,0.71,0.69,0.69,5273,6,7550
01/08/2019,0.69,0.66,0.69,5856,17,8790
30/07/2019,0.68,0.66,0.68,5341,7,8000
29/07/2019,0.67,0.66,0.67,1585,5,2400
28/07/2019,0.66,0.66,0.66,660,1,1000
25/07/2019,0.66,0.65,0.66,1030,4,1565
24/07/2019,0.66,0.65,0.66,1438,9,2193
23/07/2019,0.67,0.65,0.67,2637,10,4038
